v_m_s,sigma_SI,sigma_Ang2
10.0,242324929284.5306,2.4232492928453057e+31
114.73684210526316,68146698968.56024,6.814669896856023e+30
219.47368421052633,8953991759.19246,8.953991759192458e+29
324.2105263157895,3614638702.4887724,3.614638702488772e+29
428.94736842105266,1663417309.9432206,1.6634173099432203e+29
533.6842105263158,821573248.7538542,8.21573248753854e+28
638.421052631579,529721359.85504633,5.297213598550462e+28
743.1578947368422,300504583.32666904,3.00504583326669e+28
847.8947368421053,216372304.62733477,2.1637230462733475e+28
952.6315789473684,142084165.6019266,1.4208416560192658e+28
1057.3684210526317,103473617.63467535,1.0347361763467534e+28
1162.1052631578948,77038081.92606884,7.703808192606884e+27
1266.842105263158,56220203.59376637,5.622020359376637e+27
1371.578947368421,44949286.8105646,4.4949286810564597e+27
1476.3157894736844,33960196.699313566,3.396019669931356e+27
1581.0526315789475,27584470.160417262,2.758447016041726e+27
1685.7894736842106,22083669.519362427,2.2083669519362426e+27
1790.5263157894738,17821285.293384746,1.7821285293384744e+27
1895.2631578947369,14969442.52621353,1.4969442526213528e+27
2000.0,12167251.63995182,1.2167251639951819e+27
