v_m_s,sigma_Ang2
10.0,5.526627584131843e+27
12.470281287818594,5.057630407334958e+27
15.550791539731849,4.483518903232372e+27
19.39227447486858,3.800415169246777e+27
24.18271175121958,3.02221676452481e+27
30.15652178399443,2.1928198281797509e+27
37.60603093086394,1.3949269568617578e+27
46.89577838262798,7.400136409390949e+26
58.48035476425734,3.23190156071333e+26
72.92664737217109,1.4881627973975303e+26
90.94158061085302,1.0195202274515002e+26
113.40670909761667,6.064518369257197e+25
141.4213562373095,2.683811980643389e+25
176.35640923840492,1.6165946239474603e+25
219.9214030112558,7.455361094681615e+24
274.2481756762073,3.76237510243937e+24
341.99518933533966,1.862654471227454e+24
426.4776210092461,8.865808126543474e+23
531.829589694499,4.313581157088178e+23
663.2064580675553,1.987984340169761e+23
827.0371084000278,9.243034266371412e+22
1031.338537721246,4.198140411564199e+22
1286.108166835145,1.9025917838076626e+22
1603.8130606994978,8.52431090224422e+21
2000.0,3.8186272010959695e+21
