v_ms,sigma_A2
10.0,49741.276631192755
13.21620729433604,17850.541353354085
17.466813524686128,7589.6135778970865
23.084502831376422,4652.971116347216
30.508957470615822,2173.633316853692
40.32127062657409,1389.8658177016682
53.2894270971826,970.8890343058915
70.42841151127737,811.7326861958886
93.07964859438445,747.7849304712545
123.01599307073393,722.3289097301715
162.58048649414266,712.6035493531363
214.86974115205894,708.9684148768258
283.97630403459397,707.6262593790385
375.3089700800592,707.1341676619675
496.01611480018283,706.9557957032281
655.5451794530403,706.8914922474343
866.3820982454096,706.8689743612977
1145.0285406513153,706.8630343410459
1513.2934551178857,706.8597817791743
2000.0,706.8589874540493
